Sr_No,Movie_Name,Movie_Year,Movie_Rating
1,The Shawshank Redemption,1994,9.2
2,The Godfather,1972,9.2
3,The Godfather: Part II,1974,9.0
4,The Dark Knight,2008,9.0
5,12 Angry Men,1957,8.9
6,Schindler's List,1993,8.9
7,Pulp Fiction,1994,8.9
8,The Lord of the Rings: The Return of the King,2003,8.9
9,The Good, the Bad and the Ugly,1966,8.8
10,Fight Club,1999,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
12,Forrest Gump,1994,8.7
13,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
14,Inception,2010,8.7
15,The Lord of the Rings: The Two Towers,2002,8.7
16,One Flew Over the Cuckoo's Nest,1975,8.7
17,Goodfellas,1990,8.7
18,The Matrix,1999,8.7
19,Seven Samurai,1954,8.6
20,Star Wars: Episode IV - A New Hope,1977,8.6
21,City of God,2002,8.6
22,Se7en,1995,8.6
23,The Silence of the Lambs,1991,8.6
24,It's a Wonderful Life,1946,8.6
25,Life Is Beautiful,1997,8.6
26,The Usual Suspects,1995,8.6
27,Léon: The Professional,1994,8.5
28,Spirited Away,2001,8.5
29,Saving Private Ryan,1998,8.5
30,Interstellar,2014,8.5
31,American History X,1998,8.5
32,The Green Mile,1999,8.5
33,Once Upon a Time in the West,1968,8.5
34,Psycho,1960,8.5
35,City Lights,1931,8.5
36,Casablanca,1942,8.5
37,The Intouchables,2011,8.5
38,Modern Times,1936,8.5
39,The Pianist,2002,8.5
40,The Departed,2006,8.5
41,Raiders of the Lost Ark,1981,8.5
42,Terminator 2,1991,8.5
43,Rear Window,1954,8.5
44,Back to the Future,1985,8.5
45,Whiplash,2014,8.5
46,Gladiator,2000,8.5
47,The Lion King,1994,8.5
48,The Prestige,2006,8.5
49,Memento,2000,8.5
50,Apocalypse Now,1979,8.4
51,Coco,2017,8.4
52,Alien,1979,8.4
53,The Great Dictator,1940,8.4
54,Cinema Paradiso,1988,8.4
55,Sunset Boulevard,1950,8.4
56,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
57,Grave of the Fireflies,1988,8.4
58,The Lives of Others,2006,8.4
59,Paths of Glory,1957,8.4
60,Django Unchained,2012,8.4
61,The Shining,1980,8.4
62,WALL·E,2008,8.4
63,American Beauty,1999,8.4
64,Princess Mononoke,1997,8.4
65,The Dark Knight Rises,2012,8.4
66,Witness for the Prosecution,1957,8.4
67,Oldboy,2003,8.4
68,Aliens,1986,8.4
69,Once Upon a Time in America,1984,8.4
70,Das Boot,1981,8.3
71,Citizen Kane,1941,8.3
72,Vertigo,1958,8.3
73,North by Northwest,1959,8.3
74,Dangal,2016,8.3
75,Braveheart,1995,8.3
76,Star Wars: Episode VI - Return of the Jedi,1983,8.3
77,Reservoir Dogs,1992,8.3
78,M,1931,8.3
79,Your Name,2016,8.3
80,Requiem for a Dream,2000,8.3
81,Taare Zameen Par,2007,8.3
82,Amélie,2001,8.3
83,Amadeus,1984,8.3
84,A Clockwork Orange,1971,8.3
85,Lawrence of Arabia,1962,8.3
86,Double Indemnity,1944,8.3
87,Eternal Sunshine of the Spotless Mind,2004,8.3
88,Taxi Driver,1976,8.3
89,To Kill a Mockingbird,1962,8.3
90,Singin' in the Rain,1952,8.3
91,2001: A Space Odyssey,1968,8.3
92,Full Metal Jacket,1987,8.3
93,3 Idiots,2009,8.3
94,Toy Story,1995,8.3
95,The Sting,1973,8.3
96,Bicycle Thieves,1948,8.3
97,Inglourious Basterds,2009,8.3
98,Toy Story 3,2010,8.3
99,The Kid,1921,8.3
100,Snatch,2000,8.3
101,The Hunt,2012,8.3
102,Good Will Hunting,1997,8.3
103,Monty Python and the Holy Grail,1975,8.3
104,For a Few Dollars More,1965,8.3
105,Scarface,1983,8.3
106,L.A. Confidential,1997,8.3
107,The Apartment,1960,8.2
108,Metropolis,1927,8.2
109,A Separation,2011,8.2
110,Rashomon,1950,8.2
111,Indiana Jones and the Last Crusade,1989,8.2
112,Three Billboards Outside Ebbing, Missouri,2017,8.2
113,Yojimbo,1961,8.2
114,All About Eve,1950,8.2
115,Up,2009,8.2
116,Batman Begins,2005,8.2
117,My Father and My Son,2005,8.2
118,Some Like It Hot,1959,8.2
119,The Treasure of the Sierra Madre,1948,8.2
120,Unforgiven,1992,8.2
121,Downfall,2004,8.2
122,Die Hard,1988,8.2
123,Heat,1995,8.2
124,Raging Bull,1980,8.2
125,Ikiru,1952,8.2
126,The Great Escape,1963,8.2
127,The Third Man,1949,8.2
128,Children of Heaven,1997,8.2
129,Chinatown,1974,8.2
130,Pan's Labyrinth,2006,8.2
131,Incendies,2010,8.2
132,My Neighbor Totoro,1988,8.2
133,Ran,1985,8.2
134,Judgment at Nuremberg,1961,8.2
135,The Secret in Their Eyes,2009,8.2
136,The Gold Rush,1925,8.2
137,Howl's Moving Castle,2004,8.2
138,The Bridge on the River Kwai,1957,8.2
139,On the Waterfront,1954,8.2
140,Inside Out,2015,8.2
141,The Seventh Seal,1957,8.2
142,Lock, Stock and Two Smoking Barrels,1998,8.2
143,Room,2015,8.2
144,A Beautiful Mind,2001,8.2
145,Mr. Smith Goes to Washington,1939,8.2
146,Casino,1995,8.2
147,The Elephant Man,1980,8.1
148,Blade Runner 2049,2017,8.1
149,Blade Runner,1982,8.1
150,The Wolf of Wall Street,2013,8.1
151,V for Vendetta,2005,8.1
152,Wild Strawberries,1957,8.1
153,The General,1926,8.1
154,Warrior,2011,8.1
155,Dial M for Murder,1954,8.1
156,Trainspotting,1996,8.1
157,Gone with the Wind,1939,8.1
158,Gran Torino,2008,8.1
159,The Deer Hunter,1978,8.1
160,The Sixth Sense,1999,8.1
161,Fargo,1996,8.1
162,No Country for Old Men,2007,8.1
163,The Thing,1982,8.1
164,There Will Be Blood,2007,8.1
165,Sunrise,1927,8.1
166,Finding Nemo,2003,8.1
167,The Big Lebowski,1998,8.1
168,Come and See,1985,8.1
169,Andrei Rublev,1966,8.1
170,Tokyo Story,1953,8.1
171,Cool Hand Luke,1967,8.1
172,The Bandit,1996,8.1
173,Rebecca,1940,8.1
174,Kill Bill: Vol. 1,2003,8.1
175,Hacksaw Ridge,2016,8.1
176,How to Train Your Dragon,2010,8.1
177,Shutter Island,2010,8.1
178,Mary and Max,2009,8.1
179,Gone Girl,2014,8.1
180,Rang De Basanti,2006,8.1
181,Into the Wild,2007,8.1
182,The Passion of Joan of Arc,1928,8.1
183,Life of Brian,1979,8.1
184,It Happened One Night,1934,8.1
185,Wild Tales,2014,8.1
186,Platoon,1986,8.1
187,In the Name of the Father,1993,8.1
188,Hotel Rwanda,2004,8.1
189,The Wages of Fear,1953,8.1
190,Network,1976,8.1
191,Stand by Me,1986,8.1
192,Call Me by Your Name,2017,8.1
193,Rush,2013,8.1
194,The Grand Budapest Hotel,2014,8.1
195,Ben-Hur,1959,8.1
196,Stalker,1979,8.1
197,Persona,1966,8.1
198,Jurassic Park,1993,8.1
199,Memories of Murder,2003,8.1
200,12 Years a Slave,2013,8.1
201,The 400 Blows,1959,8.1
202,Logan,2017,8.1
203,Million Dollar Baby,2004,8.1
204,Mad Max: Fury Road,2015,8.1
205,Spotlight,2015,8.1
206,The Truman Show,1998,8.1
207,La La Land,2016,8.1
208,Amores Perros,2000,8.1
209,A Wednesday,2008,8.1
210,Butch Cassidy and the Sundance Kid,1969,8.1
211,Before Sunrise,1995,8.1
212,Hachi: A Dog's Tale,2009,8.1
213,Nausicaä of the Valley of the Wind,1984,8.1
214,The Princess Bride,1987,8.1
215,Prisoners,2013,8.0
216,The Maltese Falcon,1941,8.0
217,The Nights of Cabiria,1957,8.0
218,Harry Potter and the Deathly Hallows: Part 2,2011,8.0
219,Catch Me If You Can,2002,8.0
220,Rocky,1976,8.0
221,The Grapes of Wrath,1940,8.0
222,Paper Moon,1973,8.0
223,Diabolique,1955,8.0
224,Monsters, Inc.,2001,8.0
225,Barry Lyndon,1975,8.0
226,Donnie Darko,2001,8.0
227,Gandhi,1982,8.0
228,Touch of Evil,1958,8.0
229,The Terminator,1984,8.0
230,Groundhog Day,1993,8.0
231,La Haine,1995,8.0
232,The Wizard of Oz,1939,8.0
233,Annie Hall,1977,8.0
234,The Bourne Ultimatum,2007,8.0
235,8½,1963,8.0
236,Jaws,1975,8.0
237,Dead Poets Society,1989,8.0
238,The Best Years of Our Lives,1946,8.0
239,In the Mood for Love,2000,8.0
240,The Help,2011,8.0
241,Dunkirk,2017,8.0
242,Paris, Texas,1984,8.0
243,Infernal Affairs,2002,8.0
244,The Legend of 1900,1998,8.0
245,Twelve Monkeys,1995,8.0
246,The Handmaiden,2016,8.0
247,Beauty and the Beast,1991,8.0
248,Dog Day Afternoon,1975,8.0
249,PK,2014,8.0
250,Three Colors: Red,1994,8.0
